"","state","2017_no","2019_no","2020_no","2017_rate","2019_rate","2020_rate"
"1","Connecticut",11910,11990,11170,17.7,17.9,16.7
"2","Maine",2040,2100,2370,8.8,9,10.1
"3","Massachusetts",18590,19050,17060,13.5,13.6,12.2
"4","New Hampshire",2210,2090,2050,9.2,8.5,8.3
"5","New Jersey",48110,48280,48830,28,28.8,29.2
"6","New York",105380,117140,110360,26.3,30.2,28.8
"7","Pennsylvania",31260,31250,32270,13.1,13.1,13.6
"8","Rhode Island",3500,2840,2760,16.7,13.6,13.3
"9","Vermont",1300,1190,1230,11.4,10.4,10.7
"10","Midwest",133130,143370,146550,10.2,10.9,11.2
"11","Illinois",42080,52220,52780,16.6,20.9,21.3
"12","Indiana",7710,7720,7880,5.9,5.9,6
"13","Iowa",3760,3470,3510,6.3,5.8,5.9
"14","Kansas",6830,6740,8190,12.2,12,14.5
"15","Michigan",26630,29160,31510,14.2,15.5,16.8
"16","Minnesota",10740,11190,11060,10.1,10.3,10.2
"17","Missouri",4710,1520,170,4,1.3,0.1
"18","Nebraska",2020,2150,2200,5.5,5.8,5.9
"19","North Dakota",1160,1120,1170,7.9,7.5,7.8
"20","Ohio",20630,20400,20990,9.4,9.2,9.5
"21","South Dakota",500,420,130,3.1,2.5,0.8
"22","Wisconsin",6360,7260,6960,5.9,6.6,6.4
"23","South",295310,308290,320410,12.1,12.5,12.9
"24","Alabama",6110,5910,5700,6.4,6.2,6
"25","Arkansas",3200,2920,3250,5.5,5,5.6
"26","Delaware",1900,2040,1830,10.5,11.3,10
"27","District of Columbia",5630,9900,9410,30.2,51.8,48.9
"28","Florida",71050,72210,77400,18.6,18.5,19.7
"29","Georgia",36330,39980,41620,16.9,18.3,18.9
"30","Kentucky",3200,3670,4080,3.8,4.3,4.8
"31","Louisiana",9920,8150,7360,10.6,8.8,8
"32","Maryland",29800,30030,30750,25,25.3,25.9
"33","Mississippi",2550,3190,3560,4.3,5.5,6.1
"34","North Carolina",29500,29320,31850,14.6,14.2,15.3
"35","Oklahoma",4780,9070,9690,6.2,11.7,12.4
"36","South Carolina",5120,5000,5300,5.3,5.1,5.3
"37","Tennessee",12140,9970,10850,9.2,7.5,8.1
"38","Texas",55440,59290,58030,9.4,9.8,9.5
"39","Virginia",17210,16470,18740,10.2,9.7,11
"40","West Virginia",1430,1170,990,4.4,3.7,3.1
"41","West",209620,228900,235140,13.5,14.5,14.9
"42","Alaska",1260,1320,1240,8.6,9.1,8.6
"43","Arizona",12400,13020,13320,9.2,9.3,9.3
"44","California",132680,150660,154060,16.4,18.7,19.2
"45","Colorado",12390,12410,13420,10.9,10.5,11.2
"46","Hawaii",3200,3150,3130,12,12.1,12.1
"47","Idaho",1290,1520,1690,3.9,4.4,4.8
"48","Montana",1580,1610,1630,8.3,8.2,8.2
"49","Nevada",9690,9920,11010,16.4,16.4,17.9
"50","New Mexico",4620,4470,5880,11.7,11.2,14.7
"51","Oregon",9640,9130,8560,11.9,11,10.3
"52","Utah",2990,3030,3120,4.4,4.3,4.4
"53","Washington",17740,18570,17980,12.1,12.2,11.7
"54","Wyoming",140,90,100,1.3,0.8,0.9
